box #,latfloor,latceiling,depthceiling,depthfloor,dCo_mean_obs,O2_mean_obs,PO4_mean_obs,dCo_mean_model,O2_mean_model,PO4_mean_model
58,-20,-19,3000,3500,24.54894575,168.1,2.34,44.0149752298991,198.360710144043,2.47846986850103
59,-20,-19,3500,4000,,,,45.93183167775471,214.174084981283,2.42657134930293
60,-20,-19,4000,4500,21.732664184999997,177.0,2.25,47.4395043055216,221.02187856038398,2.41250892480214
61,-20,-19,4500,5000,,,,,,
62,-20,-19,5000,5500,,,,,,
63,-19,-18,0,10,,,,3.28402835130692,204.17492675781298,0.13223084434866902
64,-19,-18,10,20,,,,3.28402316570282,204.176219940186,0.132231418043375
65,-19,-18,20,30,,,,3.27746623754501,204.35950851440398,0.132267196973165
66,-19,-18,30,40,,,,3.2194276650746696,205.481769561768,0.132589377462864
67,-19,-18,40,50,,,,3.09984173377355,207.048797607422,0.13347971687714302
68,-19,-18,50,60,,,,2.93251770734787,208.45824432373,0.134807238976161
69,-19,-18,60,70,,,,2.74436114231745,209.573324839274,0.136144985755285
70,-19,-18,70,80,,,,2.6113136013348903,210.695805867513,0.13736488297581698
71,-19,-18,80,90,,,,2.5144153436025,211.93928654988602,0.13849342614412302
72,-19,-18,90,100,,,,2.41281807422638,213.418753306071,0.139743520567814
73,-19,-18,100,110,,,,2.32618906100591,215.369861602783,0.141451748708884
74,-19,-18,110,120,,,,2.3208247621854103,217.258313496908,0.14293045798937498
75,-19,-18,120,135,,,,2.40481690565745,218.863402048747,0.145333344737689
76,-19,-18,135,150,,,,2.6711815396944703,219.374350229899,0.15481401483217902
77,-19,-18,150,175,,,,3.49789891640345,216.444277445475,0.18791329363981896
78,-19,-18,175,200,,,,5.699562748273211,210.766754150391,0.242547682176034
79,-19,-18,200,250,,,,8.66848214467367,206.265162150065,0.311310010651747
80,-19,-18,250,300,,,,13.411805788675899,202.36559041341098,0.467072501778603
81,-19,-18,300,500,,,,22.995513121286997,196.510320027669,0.916503295302391
82,-19,-18,500,700,,,,31.9306457837423,192.606819152832,1.51539399226507
83,-19,-18,700,1000,,,,37.1757949193319,168.15504328409799,2.0483566323916103
84,-19,-18,1000,1250,,,,40.363152821858705,142.08794148763002,2.46508252620697
85,-19,-18,1250,1500,,,,41.5208991368612,134.77489344279,2.64401884873708
86,-19,-18,1500,2000,,,,41.7875477472941,141.36683273315398,2.6652618249257403
87,-19,-18,2000,2500,,,,42.0160055160522,156.979279836019,2.62881334622701
88,-19,-18,2500,3000,,,,42.687512715657604,178.37846883138002,2.5541405081749
89,-19,-18,3000,3500,,,,44.0149752298991,198.360710144043,2.47846986850103
90,-19,-18,3500,4000,,,,45.93183167775471,214.174084981283,2.42657134930293
91,-19,-18,4000,4500,,,,47.4395043055216,221.02187856038398,2.41250892480214
92,-19,-18,4500,5000,,,,,,
93,-19,-18,5000,5500,,,,,,
94,-18,-17,0,10,0.0,,,3.86644051472346,201.447792053223,0.13921718423565196
95,-18,-17,10,20,,,,3.86644037564596,201.44779332478802,0.139217185477416
96,-18,-17,20,30,4.636690783,195.6,0.09,3.8679317235946695,201.577150980632,0.13922332103053697
97,-18,-17,30,40,,,,3.8624481956163996,202.57495244344102,0.139266031483809
98,-18,-17,40,50,,,,3.7670865456263196,204.3494237264,0.14027597506841
99,-18,-17,50,60,0.0,196.0,0.08,3.57316476106644,205.756312052409,0.142078121503194
100,-18,-17,60,70,,,,3.2981111804644305,206.83506393432597,0.144159639875094
101,-18,-17,70,80,,,,3.12419621149699,207.94953536987302,0.14625400056441598
102,-18,-17,80,90,,,,2.96040972073873,209.36801528930698,0.148791463424762
103,-18,-17,90,100,0.0,202.8,0.09,2.7938644886016806,211.35161844889302,0.15210807695984804
104,-18,-17,100,110,,,,2.7184426387151097,213.514542897542,0.154975617925326
105,-18,-17,110,120,,,,2.73836928606033,215.57773208618198,0.157279189676046
106,-18,-17,120,135,0.0,189.4,0.23,2.87063113848368,217.011219024658,0.16229935487111402
107,-18,-17,135,150,,,,3.2632086078325897,216.38223139445,0.181827629605929
