,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],dCo [pM],LdCo [pM],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],CTDXMISS,CTDSAL,Density,CTDOXY [uM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM]
636,GP15,35,-10.5,-152.00006,15367,43420,4500,26.29904817,,4572.9,1.3294,187.2,0.001,34.7011,126.82,2.29,34.02,0,4.723,34.7011,1.048388642,196.2583538,132.9566476,2.40080999,35.6661816,0
637,GP15,35,-10.5,-152.00006,15364,43420,4750,23.99456972,,4829.5,1.3161,190.5,0.001,34.7027,122.33,2.23,33.08,0,4.724,34.7027,1.049489258,199.9277037,128.384021,2.340361046,34.71710467,0
638,GP15,35,-10.5,-152.00006,15361,43420,4970,21.46812318,,5056.6,1.3212,193.1,0.001,34.7038,121.16,2.21,32.82,0,4.723,34.7038,1.050454944,202.8428497,127.273121,2.321505427,34.47593127,0
639,GP15,35,-10.5,-152.00006,15358,43420,5050,20.14109291,,5137.9,1.3268,193.3,0.001,34.7039,121.16,2.23,32.78,0,4.724,34.7039,1.050798531,203.119356,127.31475,2.343280723,34.44517583,0
640,GP15,35,-10.5,-152.00006,15355,43420,5090,23.3937972,0,5179.7,1.3299,193.3,0.001,34.704,121.06,2.23,32.71,0,4.724,34.704,1.050974935,203.153455,127.2310256,2.343674105,34.37739013,0
641,GP15,36,-12.75001,-151.99998,15473,43422,2,0,,2,28.8826,194.9888,0.0051,,,,,,4.6557,36.2454,1.023047558,199.4828157,,,,
642,GP15,36,-12.75001,-151.99998,15510,43422,25,0,,22.6,28.5063,198.2,0.006,36.2435,0,0.12,0.03,0,4.655,36.2435,1.023259841,202.8101006,0,0.122791181,0.030697795,0
643,GP15,36,-12.75001,-151.99998,15508,43422,60,12.21699381,,58.8,27.5032,199.6,0.014,36.2754,0.2,0.14,0.18,0.02,4.649,36.2754,1.023768856,204.3442637,0.204753771,0.14332764,0.184278394,0.020475377
644,GP15,36,-12.75001,-151.99998,15506,43422,110,9.172637805,,108.1,26.3164,185.5,0.013,36.4403,0.1,0.19,0.24,0.54,4.678,36.4403,1.024485741,190.042105,0.102448574,0.194652291,0.245876578,0.5532223
645,GP15,36,-12.75001,-151.99998,15504,43422,150,10.7190076,,148.5,24.3028,169.3,0.005,36.4076,0,0.33,2.59,0.32,4.695,36.4076,1.025258538,173.5762704,0,0.338335317,2.655419612,0.328082732
646,GP15,36,-12.75001,-151.99998,15502,43422,200,14.02671375,,199.1,21.5058,173.6,0.002,36.0138,0.1,0.38,3.77,0,4.707,36.0138,1.025993396,178.1124535,0.10259934,0.38987749,3.867995102,0
647,GP15,36,-12.75001,-151.99998,15500,43422,250,18.50782419,,249,18.9316,171.4,0.001,35.601,0.49,0.54,6,0,4.712,35.601,1.026590026,175.9575304,0.503029113,0.554358614,6.159540155,0
648,GP15,36,-12.75001,-151.99998,15498,43422,350,28.8500399,,350.2,12.1183,125.3,0.001,34.7345,9.19,1.48,19.47,0,4.714,34.7345,1.027930308,128.7996676,9.44667953,1.521336856,20.0138031,0
649,GP15,36,-12.75001,-151.99998,15496,43422,400,32.73043568,,399.8,9.8287,97,0.001,34.6381,18.57,1.95,27.36,0,4.714,34.6381,1.028505915,99.76507377,19.09935484,2.005586535,28.13992184,0
650,GP15,36,-12.75001,-151.99998,15494,43422,500,36.46480885,,502.2,8.1292,124.2,0.001,34.5695,24.24,1.99,29.37,0,4.716,34.5695,1.029200768,127.8267354,24.94782661,2.048109528,30.22762655,0
651,GP15,36,-12.75001,-151.99998,15492,43422,650,45.06673048,,651.8,6.2125,134.6,0.001,34.496,37.24,2.19,32.55,0,4.717,34.496,1.030113978,138.6533414,38.36144453,2.255949611,33.53020998,0
652,GP15,36,-12.75001,-151.99998,15490,43422,800,34.04923087,,804,5.3048,121.2,0.001,34.4998,51.71,2.41,35.51,0,4.718,34.4998,1.030937846,124.949667,53.30979603,2.484560209,36.60860292,0
653,GP15,36,-12.75001,-151.99998,15488,43422,1000,46.24426231,,1006.6,4.3462,113.1,0.001,34.522,70.38,2.56,37.37,0,4.724,34.522,1.032007901,116.7200936,72.63271606,2.641940226,38.56613525,0
654,GP15,37,-14.99997,-152.00007,15544,43422,2,3.716033303,0,2,28.4846,194.3975,0.0012,36.2665,0.29,0.12,0.04,0,4.6784,36.3589,1.023265728,198.9202994,0.296747061,0.122791887,0.040930629,0
655,GP15,37,-14.99997,-152.00007,15543,43422,25,3.544529842,0,23.3,28.2544,196.5,0.001,36.3977,0.2,0.11,0,0,4.673,36.3977,1.023462329,201.1103477,0.204692466,0.112580856,0,0
656,GP15,37,-14.99997,-152.00007,15541,43422,60,5.550115817,0,57.9,27.546,199.7,0.002,36.3055,0.1,0.09,0,0,4.67,36.3055,1.023773701,204.4476081,0.10237737,0.092139633,0,0
657,GP15,37,-14.99997,-152.00007,15539,43422,100,1.112177695,4.727916391,98.9,27.0656,201.2,0.004,36.381,0,0.11,0,0,4.675,36.381,1.024161815,206.0613572,0,0.1126578,0,0
658,GP15,37,-14.99997,-152.00007,15537,43422,135,0,,133.7,25.5654,189.6,0.014,36.4321,0,0.18,0.04,0.07,4.667,36.4321,1.02482563,194.3069394,0,0.184468613,0.040993025,0.071737794
