,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],Stn-depth,dCo [pM],LdCo [pM],dZn [nmol/kg],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,CTDXMISS,CTDSAL,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],Density,dZn [nM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM],Sigma0 [kg/m3]
548,GP15,31.0,-2.50037,-151.99993999999998,14996,43415,85,31-85,19.38543921,0.0,,83.4,27.9239,197.2,0.013000000000000001,4.647,35.4831,35.4846,0.0,0.5,4.32,0.11,1.0231409225424501,,0.0,0.5115704612712251,4.419968785383385,0.11254550147966952,22.789966812729176
549,GP15,31.0,-2.50037,-151.99993999999998,14994,43415,105,31-105,34.39082352,,,102.8,27.4338,193.5,0.015,4.664,35.4592,35.4568,0.1,0.57,4.93,0.16,1.0233659226779497,,0.10233659226779497,0.5833185759264312,5.045193998802292,0.16373854762847195,22.932832927236518
550,GP15,31.0,-2.50037,-151.99993999999998,14992,43415,130,31-130,50.71275113,12.65242135,,128.7,24.7399,164.0,0.009000000000000001,4.683,36.006,36.0311,0.0,0.64,4.47,1.77,1.0247374579089263,,0.0,0.6558319730617129,4.5805764368529,1.8137853004987996,24.191336594758468
551,GP15,31.0,-2.50037,-151.99993999999998,14990,43415,150,31-150,47.04743234,7.105530458,,148.5,20.594,147.9,0.005,4.692,35.7952,35.6338,1.27,0.93,9.96,0.05,1.0258599787136522,,1.3028421729663384,0.9540497802036966,10.217565387987976,0.051292998935682614,25.220964786665718
552,GP15,31.0,-2.50037,-151.99993999999998,14988,43415,180,31-180,167.03458369999998,55.55960857,,178.3,14.0181,41.0,0.001,4.704,35.0202,35.0119,15.54,1.99,28.43,0.0,1.0269963099230832,,15.959522656204712,2.0437226567469358,29.197505091113257,0.0,26.208772865926676
553,GP15,31.0,-2.50037,-151.99993999999998,14986,43415,210,31-210,123.93685049999999,54.15741756,,208.3,13.03,22.8,0.001,4.705,34.9306,34.9203,20.23,2.21,31.35,0.0,1.0272671320238513,,20.781614080842512,2.2702603617727113,32.204824588947744,0.0,26.343400640984783
554,GP15,31.0,-2.50037,-151.99993999999998,14984,43415,260,31-260,119.8059135,41.90390292,,259.9,12.4182,12.9,0.001,4.705,34.8921,34.8645,22.47,2.3,32.18,0.0,1.0275910847743996,,23.089971674880758,2.363459494981119,33.06788110804018,0.0,26.436037956936843
555,GP15,31.0,-2.50037,-151.99993999999998,14982,43415,300,31-300,111.84351570000001,37.9610509,,300.6,11.8633,11.8,0.001,4.703,34.8584,34.8498,24.33,2.36,32.29,0.0,1.0278560435747404,,25.00773754017343,2.425740262836387,33.18947164702836,0.0,26.517323049864217
556,GP15,31.0,-2.50037,-151.99993999999998,14980,43415,340,31-340,92.67927962,,,340.8,11.2641,16.3,0.001,4.703,34.8229,34.821999999999996,26.19,2.42,32.64,0.0,1.028123420409099,,26.926552380514305,2.4880586773900193,33.55794844215299,0.0,26.60209077500258
557,GP15,31.0,-2.50037,-151.99993999999998,14978,43415,400,31-400,102.18860620000001,42.44248108,,400.4,10.4907,10.5,0.001,4.705,34.7746,34.777,29.61,2.57,34.34,0.0,1.0284970866772631,,30.45379873651376,2.643237512760566,35.31858995649722,0.0,26.70425252805626
558,GP15,31.0,-2.50037,-151.99993999999998,15094,43415,400,31-400b,93.63944613,,,400.5,9.8981,11.1,0.001,4.705,34.7383,34.724000000000004,33.19,2.51,35.18,0.0,1.0285759680088586,,34.13843637821402,2.581725679702235,36.18530255455165,0.0,26.777519005453087
559,GP15,31.0,-2.50037,-151.99993999999998,15090,43415,500,31-500,70.61023192,,,500.7,7.9866,41.7,0.001,4.707,34.6233,34.6224,38.75,2.55,37.71,0.0,1.0292601486845856,,39.88383076152769,2.624613379145693,38.81340020689572,0.0,26.99240531632995
